shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,hotels,attractions,museums,parks,business_centers,residential_buildings,walkability_score,total_pois,lat,lon,point_id,city
23,0,6,1,1,0,19,16,0,0,0,8,2,6,88,280,44.81303485225228,-0.571969027622824,Bordeaux_44.813035_-0.571969,Bordeaux
40,0,8,5,2,0,26,14,0,0,0,6,6,9,87,322,44.81303485225228,-0.5687914241762918,Bordeaux_44.813035_-0.568791,Bordeaux
25,0,2,5,1,0,19,9,0,0,0,5,4,8,73,254,44.81303485225228,-0.5656138207297596,Bordeaux_44.813035_-0.565614,Bordeaux
23,0,2,5,1,0,20,7,0,0,0,4,4,6,55,240,44.81303485225228,-0.5624362172832275,Bordeaux_44.813035_-0.562436,Bordeaux
24,0,5,5,1,0,21,7,0,0,0,4,8,7,77,266,44.81303485225228,-0.5592586138366953,Bordeaux_44.813035_-0.559259,Bordeaux
8,0,10,1,2,0,17,8,1,0,0,4,17,5,185,361,44.81303485225228,-0.5560810103901631,Bordeaux_44.813035_-0.556081,Bordeaux
37,0,8,3,2,0,24,14,0,0,0,8,5,5,97,332,44.815287104504534,-0.571969027622824,Bordeaux_44.815287_-0.571969,Bordeaux
53,0,10,7,3,0,27,12,0,0,0,5,10,7,98,347,44.815287104504534,-0.5687914241762918,Bordeaux_44.815287_-0.568791,Bordeaux
25,0,2,4,1,0,20,9,0,0,0,5,5,8,84,246,44.815287104504534,-0.5656138207297596,Bordeaux_44.815287_-0.565614,Bordeaux
23,0,2,4,1,0,21,9,0,0,0,3,5,7,67,218,44.815287104504534,-0.5624362172832275,Bordeaux_44.815287_-0.562436,Bordeaux
23,0,4,4,1,0,21,10,0,0,0,5,9,9,90,249,44.815287104504534,-0.5592586138366953,Bordeaux_44.815287_-0.559259,Bordeaux
8,0,9,0,2,0,18,9,1,0,0,5,18,11,204,366,44.815287104504534,-0.5560810103901631,Bordeaux_44.815287_-0.556081,Bordeaux
15,0,12,0,3,0,21,12,1,0,0,6,18,11,216,407,44.815287104504534,-0.5529034069436309,Bordeaux_44.815287_-0.552903,Bordeaux
45,0,9,5,2,0,27,14,0,0,0,7,8,5,90,345,44.81753935675679,-0.5751466310693562,Bordeaux_44.817539_-0.575147,Bordeaux
46,0,9,5,2,0,29,15,0,0,0,7,8,5,88,352,44.81753935675679,-0.571969027622824,Bordeaux_44.817539_-0.571969,Bordeaux
53,0,12,6,2,0,29,13,0,0,0,5,10,7,91,343,44.81753935675679,-0.5687914241762918,Bordeaux_44.817539_-0.568791,Bordeaux
20,0,5,1,1,0,20,8,0,0,0,4,4,9,89,248,44.81753935675679,-0.5656138207297596,Bordeaux_44.817539_-0.565614,Bordeaux
16,0,5,1,1,0,17,10,1,0,0,2,5,7,82,211,44.81753935675679,-0.5624362172832275,Bordeaux_44.817539_-0.562436,Bordeaux
16,0,9,1,1,0,17,10,4,0,0,4,12,13,140,305,44.81753935675679,-0.5592586138366953,Bordeaux_44.817539_-0.559259,Bordeaux
11,0,15,0,3,0,18,10,5,0,0,4,27,18,242,455,44.81753935675679,-0.5560810103901631,Bordeaux_44.817539_-0.556081,Bordeaux
14,0,15,0,2,0,21,17,5,0,0,6,27,18,252,496,44.81753935675679,-0.5529034069436309,Bordeaux_44.817539_-0.552903,Bordeaux
14,0,14,0,2,0,23,19,4,0,0,9,25,16,260,526,44.81753935675679,-0.5497258034970988,Bordeaux_44.817539_-0.549726,Bordeaux
14,0,9,0,1,0,16,14,0,0,0,3,2,9,116,288,44.819791609009044,-0.6005674586416135,Bordeaux_44.819792_-0.600567,Bordeaux
24,0,10,1,2,0,16,15,0,0,0,7,4,10,124,316,44.819791609009044,-0.5973898551950814,Bordeaux_44.819792_-0.597390,Bordeaux
60,0,13,5,3,0,23,18,1,0,0,3,14,1,87,368,44.819791609009044,-0.5783242345158883,Bordeaux_44.819792_-0.578324,Bordeaux
36,0,9,5,1,0,26,16,1,0,0,4,10,2,73,321,44.819791609009044,-0.5751466310693562,Bordeaux_44.819792_-0.575147,Bordeaux
39,0,8,5,2,0,31,13,1,0,0,3,10,3,76,325,44.819791609009044,-0.571969027622824,Bordeaux_44.819792_-0.571969,Bordeaux
38,0,9,5,2,0,29,15,0,0,1,2,10,4,73,304,44.819791609009044,-0.5687914241762918,Bordeaux_44.819792_-0.568791,Bordeaux
13,0,5,0,2,0,20,12,0,0,1,2,3,6,73,229,44.819791609009044,-0.5656138207297596,Bordeaux_44.819792_-0.565614,Bordeaux
10,0,6,0,2,1,16,12,1,0,1,1,4,6,85,221,44.819791609009044,-0.5624362172832275,Bordeaux_44.819792_-0.562436,Bordeaux
11,0,10,0,2,1,14,17,4,0,1,3,10,11,164,339,44.819791609009044,-0.5592586138366953,Bordeaux_44.819792_-0.559259,Bordeaux
13,0,11,0,4,1,15,17,5,0,0,3,17,18,260,483,44.819791609009044,-0.5560810103901631,Bordeaux_44.819792_-0.556081,Bordeaux
17,0,11,0,3,1,18,24,5,0,0,4,17,18,266,501,44.819791609009044,-0.5529034069436309,Bordeaux_44.819792_-0.552903,Bordeaux
17,0,9,0,3,1,21,27,4,0,0,4,15,16,267,517,44.819791609009044,-0.5497258034970988,Bordeaux_44.819792_-0.549726,Bordeaux
16,0,4,0,2,0,21,24,2,0,0,3,10,12,219,428,44.819791609009044,-0.5465482000505666,Bordeaux_44.819792_-0.546548,Bordeaux
18,0,2,0,0,0,18,19,1,0,0,2,4,5,111,245,44.819791609009044,-0.5433705966040344,Bordeaux_44.819792_-0.543371,Bordeaux
1,0,5,0,1,0,19,20,0,0,0,3,2,8,181,340,44.8220438612613,-0.6069226655346779,Bordeaux_44.822044_-0.606923,Bordeaux
9,0,8,0,2,0,15,23,0,0,0,4,4,8,201,388,44.8220438612613,-0.6037450620881457,Bordeaux_44.822044_-0.603745,Bordeaux
14,0,9,0,1,0,19,20,0,0,0,4,4,9,185,383,44.8220438612613,-0.6005674586416135,Bordeaux_44.822044_-0.600567,Bordeaux
24,0,10,1,2,0,21,19,0,0,0,8,5,10,147,368,44.8220438612613,-0.5973898551950814,Bordeaux_44.822044_-0.597390,Bordeaux
40,0,10,6,3,0,17,17,0,0,0,10,6,7,81,336,44.8220438612613,-0.5942122517485492,Bordeaux_44.822044_-0.594212,Bordeaux
39,0,18,0,3,0,15,17,1,0,0,7,11,4,108,353,44.8220438612613,-0.5815018379624205,Bordeaux_44.822044_-0.581502,Bordeaux
64,0,20,5,4,0,22,26,1,0,0,7,16,1,113,420,44.8220438612613,-0.5783242345158883,Bordeaux_44.822044_-0.578324,Bordeaux
44,0,15,5,2,0,24,24,1,0,0,5,11,2,88,360,44.8220438612613,-0.5751466310693562,Bordeaux_44.822044_-0.575147,Bordeaux
47,0,12,5,3,0,28,21,1,0,0,3,9,2,76,332,44.8220438612613,-0.571969027622824,Bordeaux_44.822044_-0.571969,Bordeaux
47,0,9,5,2,0,27,20,0,0,1,1,10,4,68,305,44.8220438612613,-0.5687914241762918,Bordeaux_44.822044_-0.568791,Bordeaux
27,0,7,0,2,0,20,14,0,0,1,1,4,5,69,245,44.8220438612613,-0.5656138207297596,Bordeaux_44.822044_-0.565614,Bordeaux
33,0,16,0,3,1,20,14,5,0,1,0,8,5,208,407,44.8220438612613,-0.5624362172832275,Bordeaux_44.822044_-0.562436,Bordeaux
37,0,25,0,3,2,18,21,8,0,1,1,13,11,367,633,44.8220438612613,-0.5592586138366953,Bordeaux_44.822044_-0.559259,Bordeaux
35,0,27,0,3,2,17,20,9,0,0,2,20,18,439,749,44.8220438612613,-0.5560810103901631,Bordeaux_44.822044_-0.556081,Bordeaux
27,0,24,0,2,2,18,26,9,0,0,3,21,19,452,757,44.8220438612613,-0.5529034069436309,Bordeaux_44.822044_-0.552903,Bordeaux
18,0,14,0,1,2,15,29,4,0,0,3,16,17,341,614,44.8220438612613,-0.5497258034970988,Bordeaux_44.822044_-0.549726,Bordeaux
8,0,4,0,0,0,14,25,2,0,0,3,11,12,196,389,44.8220438612613,-0.5465482000505666,Bordeaux_44.822044_-0.546548,Bordeaux
8,0,1,0,0,0,13,19,1,0,0,2,4,5,110,218,44.8220438612613,-0.5433705966040344,Bordeaux_44.822044_-0.543371,Bordeaux
5,0,1,0,0,0,10,10,1,0,0,4,2,4,98,174,44.8220438612613,-0.5401929931575022,Bordeaux_44.822044_-0.540193,Bordeaux
6,0,5,0,1,0,16,20,0,0,0,3,2,6,94,232,44.824296113513554,-0.6132778724277422,Bordeaux_44.824296_-0.613278,Bordeaux
6,0,5,0,1,0,16,22,0,0,0,4,3,5,162,325,44.824296113513554,-0.6101002689812101,Bordeaux_44.824296_-0.610100,Bordeaux
2,0,4,0,1,0,20,26,0,0,0,4,4,6,187,357,44.824296113513554,-0.6069226655346779,Bordeaux_44.824296_-0.606923,Bordeaux
4,0,4,0,1,0,14,27,0,0,0,5,4,5,215,406,44.824296113513554,-0.6037450620881457,Bordeaux_44.824296_-0.603745,Bordeaux
8,0,5,0,0,0,17,19,0,0,0,5,3,5,195,388,44.824296113513554,-0.6005674586416135,Bordeaux_44.824296_-0.600567,Bordeaux
20,0,8,1,2,0,24,14,0,0,0,7,5,5,132,363,44.824296113513554,-0.5973898551950814,Bordeaux_44.824296_-0.597390,Bordeaux
35,0,9,6,3,0,21,13,0,0,0,8,4,6,87,352,44.824296113513554,-0.5942122517485492,Bordeaux_44.824296_-0.594212,Bordeaux
38,0,11,6,4,0,21,14,0,0,0,6,6,9,62,330,44.824296113513554,-0.591034648302017,Bordeaux_44.824296_-0.591035,Bordeaux
59,0,17,6,6,0,23,14,0,0,0,8,10,9,83,399,44.824296113513554,-0.5878570448554848,Bordeaux_44.824296_-0.587857,Bordeaux
48,0,16,5,5,0,15,16,0,0,0,5,9,6,83,364,44.824296113513554,-0.5846794414089527,Bordeaux_44.824296_-0.584679,Bordeaux
42,0,21,0,5,0,13,16,1,0,0,6,10,3,107,369,44.824296113513554,-0.5815018379624205,Bordeaux_44.824296_-0.581502,Bordeaux
79,0,24,3,5,0,17,25,2,0,0,6,13,1,106,413,44.824296113513554,-0.5783242345158883,Bordeaux_44.824296_-0.578324,Bordeaux
71,0,21,3,3,0,20,23,2,0,0,4,9,2,85,358,44.824296113513554,-0.5751466310693562,Bordeaux_44.824296_-0.575147,Bordeaux
79,0,25,3,5,0,26,19,2,0,0,3,8,2,68,352,44.824296113513554,-0.571969027622824,Bordeaux_44.824296_-0.571969,Bordeaux
73,0,21,3,4,0,28,19,3,0,1,2,8,3,68,346,44.824296113513554,-0.5687914241762918,Bordeaux_44.824296_-0.568791,Bordeaux
55,0,23,1,5,0,22,13,3,0,1,2,5,8,96,346,44.824296113513554,-0.5656138207297596,Bordeaux_44.824296_-0.565614,Bordeaux
64,0,38,3,6,1,22,12,10,0,1,1,10,7,261,553,44.824296113513554,-0.5624362172832275,Bordeaux_44.824296_-0.562436,Bordeaux
64,0,43,3,4,2,22,20,14,0,1,2,16,12,450,787,44.824296113513554,-0.5592586138366953,Bordeaux_44.824296_-0.559259,Bordeaux
64,0,48,4,4,2,21,20,16,0,0,3,30,17,500,897,44.824296113513554,-0.5560810103901631,Bordeaux_44.824296_-0.556081,Bordeaux
43,0,41,3,2,2,21,25,15,0,0,3,30,15,494,863,44.824296113513554,-0.5529034069436309,Bordeaux_44.824296_-0.552903,Bordeaux
22,0,22,1,1,2,13,28,8,0,0,3,23,14,345,641,44.824296113513554,-0.5497258034970988,Bordeaux_44.824296_-0.549726,Bordeaux
8,0,10,1,0,0,11,23,5,0,0,2,17,10,178,379,44.824296113513554,-0.5465482000505666,Bordeaux_44.824296_-0.546548,Bordeaux
3,0,2,0,0,0,12,17,2,0,0,1,3,6,106,206,44.824296113513554,-0.5433705966040344,Bordeaux_44.824296_-0.543371,Bordeaux
0,0,1,0,0,0,10,9,1,0,0,3,0,5,90,150,44.824296113513554,-0.5401929931575022,Bordeaux_44.824296_-0.540193,Bordeaux
1,0,1,0,0,0,16,4,1,0,0,8,0,3,112,167,44.824296113513554,-0.5370153897109701,Bordeaux_44.824296_-0.537015,Bordeaux
