point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score
Bordeaux_44.813035_-0.571969,Bordeaux,44.81303485225228,-0.571969027622824,23,0,6,1,1,0,19,16,88,0,0,0,8,2,6,280,22.02,1.0,15.06,44.0
Bordeaux_44.813035_-0.568791,Bordeaux,44.81303485225228,-0.5687914241762918,40,0,8,5,2,0,26,14,87,0,0,0,6,6,9,322,20.8,1.36,17.44,45.4
Bordeaux_44.813035_-0.565614,Bordeaux,44.81303485225228,-0.5656138207297596,25,0,2,5,1,0,19,9,73,0,0,0,5,4,8,254,16.86,1.0,12.77,43.83
Bordeaux_44.813035_-0.562436,Bordeaux,44.81303485225228,-0.5624362172832275,23,0,2,5,1,0,20,7,55,0,0,0,4,4,6,240,14.36,1.0,12.05,43.47
Bordeaux_44.813035_-0.559259,Bordeaux,44.81303485225228,-0.5592586138366953,24,0,5,5,1,0,21,7,77,0,0,0,4,8,7,266,15.31,1.0,13.25,44.23
Bordeaux_44.813035_-0.556081,Bordeaux,44.81303485225228,-0.5560810103901631,8,0,10,1,2,0,17,8,185,1,0,0,4,17,5,361,15.65,1.0,15.68,45.02
Bordeaux_44.815287_-0.571969,Bordeaux,44.81528710450453,-0.571969027622824,37,0,8,3,2,0,24,14,97,0,0,0,8,5,5,332,24.46,1.25,16.96,44.85
Bordeaux_44.815287_-0.568791,Bordeaux,44.81528710450453,-0.5687914241762918,53,0,10,7,3,0,27,12,98,0,0,0,5,10,7,347,20.91,1.8,17.75,45.82
Bordeaux_44.815287_-0.565614,Bordeaux,44.81528710450453,-0.5656138207297596,25,0,2,4,1,0,20,9,84,0,0,0,5,5,8,246,16.45,1.0,13.58,44.07
Bordeaux_44.815287_-0.562436,Bordeaux,44.81528710450453,-0.5624362172832275,23,0,2,4,1,0,21,9,67,0,0,0,3,5,7,218,11.45,1.0,13.39,43.9
Bordeaux_44.815287_-0.559259,Bordeaux,44.81528710450453,-0.5592586138366953,23,0,4,4,1,0,21,10,90,0,0,0,5,9,9,249,17.32,1.0,14.46,44.67
Bordeaux_44.815287_-0.556081,Bordeaux,44.81528710450453,-0.5560810103901631,8,0,9,0,2,0,18,9,204,1,0,0,5,18,11,366,17.66,1.0,17.03,45.85
Bordeaux_44.815287_-0.552903,Bordeaux,44.81528710450453,-0.5529034069436309,15,0,12,0,3,0,21,12,216,1,0,0,6,18,11,407,21.0,1.0,19.46,46.58
Bordeaux_44.817539_-0.575147,Bordeaux,44.81753935675679,-0.5751466310693562,45,0,9,5,2,0,27,14,90,0,0,0,7,8,5,345,23.73,1.53,17.96,45.41
Bordeaux_44.817539_-0.571969,Bordeaux,44.81753935675679,-0.571969027622824,46,0,9,5,2,0,29,15,88,0,0,0,7,8,5,352,23.73,1.56,18.97,45.63
Bordeaux_44.817539_-0.568791,Bordeaux,44.81753935675679,-0.5687914241762918,53,0,12,6,2,0,29,13,91,0,0,0,5,10,7,343,19.92,1.8,18.58,46.04
Bordeaux_44.817539_-0.565614,Bordeaux,44.81753935675679,-0.5656138207297596,20,0,5,1,1,0,20,8,89,0,0,0,4,4,9,248,12.29,1.0,13.51,44.01
Bordeaux_44.817539_-0.562436,Bordeaux,44.81753935675679,-0.5624362172832275,16,0,5,1,1,0,17,10,82,1,0,0,2,5,7,211,7.55,1.0,12.51,43.63
Bordeaux_44.817539_-0.559259,Bordeaux,44.81753935675679,-0.5592586138366953,16,0,9,1,1,0,17,10,140,4,0,0,4,12,13,305,14.36,1.0,14.58,45.22
Bordeaux_44.817539_-0.556081,Bordeaux,44.81753935675679,-0.5560810103901631,11,0,15,0,3,0,18,10,242,5,0,0,4,27,18,455,18.17,1.0,18.63,47.73
Bordeaux_44.817539_-0.552903,Bordeaux,44.81753935675679,-0.5529034069436309,14,0,15,0,2,0,21,17,252,5,0,0,6,27,18,496,22.59,1.0,21.99,48.47
Bordeaux_44.817539_-0.549726,Bordeaux,44.81753935675679,-0.5497258034970988,14,0,14,0,2,0,23,19,260,4,0,0,9,25,16,526,29.57,1.0,23.61,48.44
Bordeaux_44.819792_-0.600567,Bordeaux,44.81979160900904,-0.6005674586416135,14,0,9,0,1,0,16,14,116,0,0,0,3,2,9,288,9.19,1.0,14.3,43.95
Bordeaux_44.819792_-0.597390,Bordeaux,44.81979160900904,-0.5973898551950814,24,0,10,1,2,0,16,15,124,0,0,0,7,4,10,316,20.79,1.0,14.84,44.59
Bordeaux_44.819792_-0.578324,Bordeaux,44.81979160900904,-0.5783242345158883,60,0,13,5,3,0,23,18,87,1,0,0,3,14,1,368,15.79,2.03,17.19,45.7
Bordeaux_44.819792_-0.575147,Bordeaux,44.81979160900904,-0.5751466310693562,36,0,9,5,1,0,26,16,73,1,0,0,4,10,2,321,16.09,1.22,17.44,45.13
Bordeaux_44.819792_-0.571969,Bordeaux,44.81979160900904,-0.571969027622824,39,0,8,5,2,0,31,13,76,1,0,0,3,10,3,325,14.08,1.32,18.88,45.51
Bordeaux_44.819792_-0.568791,Bordeaux,44.81979160900904,-0.5687914241762918,38,0,9,5,2,0,29,15,73,0,0,1,2,10,4,304,11.67,1.29,18.44,45.51
Bordeaux_44.819792_-0.565614,Bordeaux,44.81979160900904,-0.5656138207297596,13,0,5,0,2,0,20,12,73,0,0,1,2,3,6,229,7.19,1.0,13.94,43.59
Bordeaux_44.819792_-0.562436,Bordeaux,44.81979160900904,-0.5624362172832275,10,0,6,0,2,1,16,12,85,1,0,1,1,4,6,221,5.04,1.0,32.7,47.37
Bordeaux_44.819792_-0.559259,Bordeaux,44.81979160900904,-0.5592586138366953,11,0,10,0,2,1,14,17,164,4,0,1,3,10,11,339,11.68,1.0,35.93,49.06
Bordeaux_44.819792_-0.556081,Bordeaux,44.81979160900904,-0.5560810103901631,13,0,11,0,4,1,15,17,260,5,0,0,3,17,18,483,14.16,1.0,39.77,51.07
Bordeaux_44.819792_-0.552903,Bordeaux,44.81979160900904,-0.5529034069436309,17,0,11,0,3,1,18,24,266,5,0,0,4,17,18,501,16.07,1.0,42.99,51.82
Bordeaux_44.819792_-0.549726,Bordeaux,44.81979160900904,-0.5497258034970988,17,0,9,0,3,1,21,27,267,4,0,0,4,15,16,517,15.47,1.0,45.02,51.84
Bordeaux_44.819792_-0.546548,Bordeaux,44.81979160900904,-0.5465482000505666,16,0,4,0,2,0,21,24,219,2,0,0,3,10,12,428,10.92,1.0,22.56,46.45
Bordeaux_44.819792_-0.543371,Bordeaux,44.81979160900904,-0.5433705966040344,18,0,2,0,0,0,18,19,111,1,0,0,2,4,5,245,5.95,1.0,16.21,44.09
Bordeaux_44.822044_-0.606923,Bordeaux,44.8220438612613,-0.6069226655346779,1,0,5,0,1,0,19,20,181,0,0,0,3,2,8,340,8.85,1.0,19.37,44.46
Bordeaux_44.822044_-0.603745,Bordeaux,44.8220438612613,-0.6037450620881457,9,0,8,0,2,0,15,23,201,0,0,0,4,4,8,388,12.54,1.0,19.17,44.86
Bordeaux_44.822044_-0.600567,Bordeaux,44.8220438612613,-0.6005674586416135,14,0,9,0,1,0,19,20,185,0,0,0,4,4,9,383,12.04,1.0,19.52,45.16
Bordeaux_44.822044_-0.597390,Bordeaux,44.8220438612613,-0.5973898551950814,24,0,10,1,2,0,21,19,147,0,0,0,8,5,10,368,23.46,1.0,18.74,45.45
Bordeaux_44.822044_-0.594212,Bordeaux,44.8220438612613,-0.5942122517485492,40,0,10,6,3,0,17,17,81,0,0,0,10,6,7,336,32.13,1.36,14.22,44.63
Bordeaux_44.822044_-0.581502,Bordeaux,44.8220438612613,-0.5815018379624205,39,0,18,0,3,0,15,17,108,1,0,0,7,11,4,353,22.78,1.32,14.35,45.02
Bordeaux_44.822044_-0.578324,Bordeaux,44.8220438612613,-0.5783242345158883,64,0,20,5,4,0,22,26,113,1,0,0,7,16,1,420,27.31,2.17,19.7,46.59
Bordeaux_44.822044_-0.575147,Bordeaux,44.8220438612613,-0.5751466310693562,44,0,15,5,2,0,24,24,88,1,0,0,5,11,2,360,19.85,1.49,19.14,45.79
Bordeaux_44.822044_-0.571969,Bordeaux,44.8220438612613,-0.571969027622824,47,0,12,5,3,0,28,21,76,1,0,0,3,9,2,332,14.83,1.59,19.63,45.68
Bordeaux_44.822044_-0.568791,Bordeaux,44.8220438612613,-0.5687914241762918,47,0,9,5,2,0,27,20,68,0,0,1,1,10,4,305,9.17,1.59,18.68,45.67
Bordeaux_44.822044_-0.565614,Bordeaux,44.8220438612613,-0.5656138207297596,27,0,7,0,2,0,20,14,69,0,0,1,1,4,5,245,5.04,1.0,14.29,44.06
Bordeaux_44.822044_-0.562436,Bordeaux,44.8220438612613,-0.5624362172832275,33,0,16,0,3,1,20,14,208,5,0,1,0,8,5,407,5.0,1.12,39.25,49.71
Bordeaux_44.822044_-0.559259,Bordeaux,44.8220438612613,-0.5592586138366953,37,0,25,0,3,2,18,21,367,8,0,1,1,13,11,633,9.39,1.25,65.84,56.22
Bordeaux_44.822044_-0.556081,Bordeaux,44.8220438612613,-0.5560810103901631,35,0,27,0,3,2,17,20,439,9,0,0,2,20,18,749,13.29,1.19,67.74,57.79
Bordeaux_44.822044_-0.552903,Bordeaux,44.8220438612613,-0.5529034069436309,27,0,24,0,2,2,18,26,452,9,0,0,3,21,19,757,15.13,1.0,70.12,58.23
Bordeaux_44.822044_-0.549726,Bordeaux,44.8220438612613,-0.5497258034970988,18,0,14,0,1,2,15,29,341,4,0,0,3,16,17,614,12.41,1.0,65.66,56.28
Bordeaux_44.822044_-0.546548,Bordeaux,44.8220438612613,-0.5465482000505666,8,0,4,0,0,0,14,25,196,2,0,0,3,11,12,389,9.94,1.0,19.08,45.63
Bordeaux_44.822044_-0.543371,Bordeaux,44.8220438612613,-0.5433705966040344,8,0,1,0,0,0,13,19,110,1,0,0,2,4,5,218,5.87,1.0,14.09,43.39
Bordeaux_44.822044_-0.540193,Bordeaux,44.8220438612613,-0.5401929931575022,5,0,1,0,0,0,10,10,98,1,0,0,4,2,4,174,10.52,1.0,10.16,42.28
Bordeaux_44.824296_-0.613278,Bordeaux,44.824296113513554,-0.6132778724277422,6,0,5,0,1,0,16,20,94,0,0,0,3,2,6,232,8.85,1.0,15.02,43.55
Bordeaux_44.824296_-0.610100,Bordeaux,44.824296113513554,-0.6101002689812101,6,0,5,0,1,0,16,22,162,0,0,0,4,3,5,325,11.53,1.0,17.95,44.13
Bordeaux_44.824296_-0.606923,Bordeaux,44.824296113513554,-0.6069226655346779,2,0,4,0,1,0,20,26,187,0,0,0,4,4,6,357,11.62,1.0,21.5,44.88
