shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,hotels,attractions,museums,parks,business_centers,residential_buildings,walkability_score,total_pois,lat,lon,point_id,city
15,0,2,0,1,0,13,37,0,0,0,13,5,4,159,304,50.603088552252274,3.0496338636362865,Lille_50.603089_3.049634,Lille
22,0,4,0,2,0,11,25,0,0,0,12,3,3,148,281,50.603088552252274,3.0531845664030817,Lille_50.603089_3.053185,Lille
3,0,9,0,0,1,20,56,0,0,0,2,4,2,122,262,50.60534080450453,3.035431052569106,Lille_50.605341_3.035431,Lille
6,0,8,0,0,1,23,62,0,0,0,4,8,2,123,288,50.60534080450453,3.038981755335901,Lille_50.605341_3.038982,Lille
6,0,5,0,0,1,16,53,0,0,0,11,5,3,236,398,50.60534080450453,3.0460831608694914,Lille_50.605341_3.046083,Lille
12,0,1,0,0,0,13,43,0,0,0,14,5,4,213,367,50.60534080450453,3.0496338636362865,Lille_50.605341_3.049634,Lille
23,0,3,0,1,0,10,34,0,0,0,13,2,2,200,341,50.60534080450453,3.0531845664030817,Lille_50.605341_3.053185,Lille
22,0,3,0,1,0,10,19,0,0,0,13,1,2,134,246,50.60534080450453,3.056735269169877,Lille_50.605341_3.056735,Lille
1,0,3,0,0,1,14,47,0,0,0,0,4,1,99,203,50.607593056756784,3.031880349802311,Lille_50.607593_3.031880,Lille
1,0,4,0,0,1,18,56,0,0,0,3,3,2,145,278,50.607593056756784,3.035431052569106,Lille_50.607593_3.035431,Lille
10,0,3,0,1,1,20,52,0,0,0,5,5,2,142,297,50.607593056756784,3.038981755335901,Lille_50.607593_3.038982,Lille
11,0,3,0,1,1,17,53,0,0,0,10,7,2,229,395,50.607593056756784,3.0425324581026962,Lille_50.607593_3.042532,Lille
10,0,2,0,1,1,15,37,0,0,0,12,4,3,299,449,50.607593056756784,3.0460831608694914,Lille_50.607593_3.046083,Lille
13,0,1,0,1,0,11,29,0,0,0,16,4,4,299,439,50.607593056756784,3.0496338636362865,Lille_50.607593_3.049634,Lille
18,0,3,0,1,0,9,30,0,0,0,14,3,2,298,426,50.607593056756784,3.0531845664030817,Lille_50.607593_3.053185,Lille
19,0,4,0,1,0,11,24,1,0,0,13,1,2,223,339,50.607593056756784,3.056735269169877,Lille_50.607593_3.056735,Lille
41,1,10,10,4,0,12,47,0,0,0,6,11,7,54,237,50.607593056756784,3.0709380802370574,Lille_50.607593_3.070938,Lille
2,0,1,0,0,0,9,43,0,0,0,2,5,2,133,239,50.60984530900904,3.0283296470355157,Lille_50.609845_3.028330,Lille
1,0,2,0,0,2,13,45,0,0,0,1,6,3,121,232,50.60984530900904,3.031880349802311,Lille_50.609845_3.031880,Lille
1,0,3,0,0,2,15,58,0,0,0,3,6,3,154,295,50.60984530900904,3.035431052569106,Lille_50.609845_3.035431,Lille
12,0,4,0,1,2,19,47,0,0,0,2,9,2,143,309,50.60984530900904,3.038981755335901,Lille_50.609845_3.038982,Lille
19,0,8,0,2,2,20,46,0,0,0,2,12,2,212,400,50.60984530900904,3.0425324581026962,Lille_50.609845_3.042532,Lille
21,0,6,0,2,1,17,33,0,0,0,3,9,2,251,420,50.60984530900904,3.0460831608694914,Lille_50.609845_3.046083,Lille
22,0,5,0,2,0,13,22,0,0,0,7,8,3,253,400,50.60984530900904,3.0496338636362865,Lille_50.609845_3.049634,Lille
22,0,6,0,2,0,12,31,0,0,0,8,5,2,273,414,50.60984530900904,3.0531845664030817,Lille_50.609845_3.053185,Lille
26,0,9,1,2,0,14,31,1,0,0,10,1,2,235,377,50.60984530900904,3.056735269169877,Lille_50.609845_3.056735,Lille
39,0,11,3,3,0,13,41,1,0,0,13,3,2,166,331,50.60984530900904,3.060285971936672,Lille_50.609845_3.060286,Lille
32,0,11,3,2,0,8,43,1,1,0,9,3,3,85,222,50.60984530900904,3.0673873774702622,Lille_50.609845_3.067387,Lille
