point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score
Lille_50.603089_3.049634,Lille,50.603088552252274,3.0496338636362865,15,0,2,0,1,0,13,37,159,0,0,0,13,5,4,304,22.11,1.0,20.3,44.84
Lille_50.603089_3.053185,Lille,50.603088552252274,3.0531845664030817,22,0,4,0,2,0,11,25,148,0,0,0,12,3,3,281,21.21,1.0,16.7,44.13
Lille_50.605341_3.035431,Lille,50.60534080450453,3.035431052569106,3,0,9,0,0,1,20,56,122,0,0,0,2,4,2,262,4.34,1.0,34.86,47.38
Lille_50.605341_3.038982,Lille,50.60534080450453,3.038981755335901,6,0,8,0,0,1,23,62,123,0,0,0,4,8,2,288,8.06,1.0,37.93,48.36
Lille_50.605341_3.046083,Lille,50.60534080450453,3.0460831608694914,6,0,5,0,0,1,16,53,236,0,0,0,11,5,3,398,18.32,1.0,35.5,47.64
Lille_50.605341_3.049634,Lille,50.60534080450453,3.0496338636362865,12,0,1,0,0,0,13,43,213,0,0,0,14,5,4,367,22.75,1.0,23.07,45.28
Lille_50.605341_3.053185,Lille,50.60534080450453,3.0531845664030817,23,0,3,0,1,0,10,34,200,0,0,0,13,2,2,341,21.69,1.0,19.13,44.46
Lille_50.605341_3.056735,Lille,50.60534080450453,3.056735269169877,22,0,3,0,1,0,10,19,134,0,0,0,13,1,2,246,21.53,1.0,14.61,43.45
Lille_50.607593_3.031880,Lille,50.607593056756784,3.031880349802311,1,0,3,0,0,1,14,47,99,0,0,0,0,4,1,203,0.84,1.0,28.44,45.79
Lille_50.607593_3.035431,Lille,50.607593056756784,3.035431052569106,1,0,4,0,0,1,18,56,145,0,0,0,3,3,2,278,5.43,1.0,34.23,46.98
Lille_50.607593_3.038982,Lille,50.607593056756784,3.038981755335901,10,0,3,0,1,1,20,52,142,0,0,0,5,5,2,297,9.68,1.0,34.95,47.5
Lille_50.607593_3.042532,Lille,50.607593056756784,3.042532458102696,11,0,3,0,1,1,17,53,229,0,0,0,10,7,2,395,17.81,1.0,35.97,47.89
Lille_50.607593_3.046083,Lille,50.607593056756784,3.0460831608694914,10,0,2,0,1,1,15,37,299,0,0,0,12,4,3,449,20.39,1.0,34.57,47.4
Lille_50.607593_3.049634,Lille,50.607593056756784,3.0496338636362865,13,0,1,0,1,0,11,29,299,0,0,0,16,4,4,439,26.58,1.0,22.52,45.12
Lille_50.607593_3.053185,Lille,50.607593056756784,3.0531845664030817,18,0,3,0,1,0,9,30,298,0,0,0,14,3,2,426,23.41,1.0,21.21,44.82
Lille_50.607593_3.056735,Lille,50.607593056756784,3.056735269169877,19,0,4,0,1,0,11,24,223,1,0,0,13,1,2,339,21.65,1.0,19.15,44.3
Lille_50.607593_3.070938,Lille,50.607593056756784,3.0709380802370574,41,1,10,10,4,0,12,47,54,0,0,0,6,11,7,237,23.86,3.18,17.45,45.05
Lille_50.609845_3.028330,Lille,50.60984530900904,3.028329647035516,2,0,1,0,0,0,9,43,133,0,0,0,2,5,2,239,4.0,1.0,17.44,43.72
Lille_50.609845_3.031880,Lille,50.60984530900904,3.031880349802311,1,0,2,0,0,2,13,45,121,0,0,0,1,6,3,232,2.66,1.0,36.18,47.63
Lille_50.609845_3.035431,Lille,50.60984530900904,3.035431052569106,1,0,3,0,0,2,15,58,154,0,0,0,3,6,3,295,5.85,1.0,40.69,48.56
Lille_50.609845_3.038982,Lille,50.60984530900904,3.038981755335901,12,0,4,0,1,2,19,47,143,0,0,0,2,9,2,309,5.7,1.0,41.53,49.22
Lille_50.609845_3.042532,Lille,50.60984530900904,3.042532458102696,19,0,8,0,2,2,20,46,212,0,0,0,2,12,2,400,7.31,1.0,44.48,50.35
