shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,hotels,attractions,museums,parks,business_centers,residential_buildings,walkability_score,total_pois,lat,lon,point_id,city
25,0,34,1,1,1,10,128,3,2,0,13,13,4,804,1214,48.81782775225228,2.3336679955909503,Paris_48.817828_2.333668,Paris
44,0,36,1,3,2,14,109,1,2,0,12,9,5,929,1328,48.81782775225228,2.3370913079531674,Paris_48.817828_2.337091,Paris
46,0,39,1,3,2,18,89,0,2,0,7,7,7,997,1399,48.81782775225228,2.3405146203153846,Paris_48.817828_2.340515,Paris
77,0,48,4,4,2,26,123,1,2,1,9,10,10,1178,1674,48.81782775225228,2.3439379326776018,Paris_48.817828_2.343938,Paris
80,0,38,3,6,1,33,140,2,1,1,11,10,11,1219,1735,48.81782775225228,2.347361245039819,Paris_48.817828_2.347361,Paris
61,0,27,3,4,0,30,126,5,1,1,12,9,9,1211,1707,48.81782775225228,2.350784557402036,Paris_48.817828_2.350785,Paris
111,0,49,3,8,2,37,109,9,1,1,14,16,8,1249,1798,48.81782775225228,2.3542078697642532,Paris_48.817828_2.354208,Paris
111,0,70,1,7,2,30,78,12,1,0,14,19,3,1012,1530,48.81782775225228,2.3576311821264704,Paris_48.817828_2.357631,Paris
134,1,78,1,8,3,24,43,12,1,0,13,25,3,851,1353,48.81782775225228,2.3610544944886875,Paris_48.817828_2.361054,Paris
137,1,79,1,9,4,26,35,11,0,0,9,32,5,711,1174,48.81782775225228,2.3644778068509047,Paris_48.817828_2.364478,Paris
82,1,59,1,5,2,16,40,6,1,0,6,27,5,574,922,48.81782775225228,2.367901119213122,Paris_48.817828_2.367901,Paris
7,0,2,1,1,0,12,20,1,0,0,5,1,3,119,230,48.81782775225228,2.4534839282685508,Paris_48.817828_2.453484,Paris
10,0,6,1,2,0,14,23,1,0,0,4,3,3,317,441,48.81782775225228,2.456907240630768,Paris_48.817828_2.456907,Paris
44,0,10,5,4,1,20,32,1,0,0,5,8,4,489,699,48.81782775225228,2.460330552992985,Paris_48.817828_2.460331,Paris
