lat,lon,point_id,shops_total,shops_supermarket,shops_bakery,shops_clothes,shops_shoes,shops_electronics,shops_books,shops_pharmacy,shops_jewelry,shops_furniture,food_total,restaurants,cafes,fast_food,bars,food_court,ice_cream,services_total,banks,post_office,pharmacy,hospital,school,university,transport_total,metro_station,bus_stop,train_station,parking,bike_sharing,tourism_total,hotels,attractions,museums,parks,sports,offices,business_centers,total_pois
48.847590990990994,2.338507370342918,48.847591_2.338507,506,4,0,0,11,1,0,0,15,6,275,129,56,55,35,0,0,66,15,5,9,0,14,23,86,0,41,2,3,0,294,53,10,9,11,1,53,0,1339
48.847590990990994,2.345353685171459,48.847591_2.345354,655,6,0,0,8,0,0,0,11,5,458,249,78,77,54,0,0,87,27,5,14,0,17,24,96,0,44,4,9,0,251,69,14,7,19,4,81,0,1707
48.847590990990994,2.3522,48.847591_2.352200,495,3,0,0,2,0,0,0,7,2,364,204,55,59,46,0,0,61,18,4,10,1,16,12,79,0,32,3,15,0,214,36,34,6,18,6,80,0,1428
48.847590990990994,2.3590463148285408,48.847591_2.359046,159,0,0,0,0,0,0,0,2,2,123,59,21,32,11,0,0,23,4,1,5,1,9,3,78,0,33,2,13,0,196,10,64,8,8,3,38,0,859
48.847590990990994,2.3658926296570817,48.847591_2.365893,117,1,0,0,2,1,0,0,2,6,95,57,19,10,9,0,0,18,5,0,5,1,6,1,80,0,36,3,9,0,151,30,43,5,10,3,39,0,688
48.8520954954955,2.338507370342918,48.852095_2.338507,976,7,0,0,26,2,0,0,39,20,504,281,77,68,78,0,0,84,23,6,14,0,21,20,109,0,45,5,7,0,292,89,10,8,10,1,65,0,2076
48.8520954954955,2.345353685171459,48.852095_2.345354,680,5,0,0,10,0,0,0,19,8,503,284,79,71,69,0,0,72,23,4,12,1,17,15,119,0,47,6,7,0,252,78,16,8,17,1,64,0,1755
48.8520954954955,2.3522,48.852095_2.352200,549,2,0,0,4,0,0,0,12,4,318,183,61,32,42,0,0,47,13,4,11,1,12,6,92,0,38,4,19,0,177,36,14,10,19,3,62,0,1359
48.8520954954955,2.3590463148285408,48.852095_2.359046,532,5,0,0,16,0,0,0,21,5,235,131,48,27,29,0,0,43,12,2,10,0,17,2,61,0,30,3,16,0,162,25,10,10,14,3,67,0,1211
48.8520954954955,2.3658926296570817,48.852095_2.365893,540,6,0,0,18,0,0,0,18,12,295,163,51,34,47,0,0,51,19,1,9,1,19,2,69,0,32,3,6,0,142,30,8,7,10,2,79,0,1239
48.8566,2.338507370342918,48.856600_2.338507,764,5,0,0,16,1,0,0,28,24,395,232,50,49,64,0,0,54,15,2,13,1,13,10,116,0,41,6,13,0,225,58,9,5,6,0,55,0,1647
48.8566,2.345353685171459,48.856600_2.345354,587,5,0,0,20,0,0,0,17,6,533,271,83,84,95,0,0,37,12,2,10,2,10,1,184,0,55,8,13,0,312,44,18,6,10,0,58,0,1751
48.8566,2.3522,48.856600_2.352200,839,4,0,0,35,0,0,0,26,6,495,232,107,78,78,0,0,40,10,4,15,1,10,0,144,0,46,5,15,0,395,34,20,10,15,1,64,0,2048
48.8566,2.3590463148285408,48.856600_2.359046,1080,7,0,0,40,0,0,0,49,9,355,191,81,44,39,0,0,62,14,3,17,0,27,1,55,0,26,2,12,0,383,35,12,13,27,2,89,0,2128
48.8566,2.3658926296570817,48.856600_2.365893,882,7,0,0,27,0,0,0,32,11,351,195,69,36,51,0,0,61,17,1,12,0,30,1,76,0,33,5,3,0,236,31,5,8,20,4,93,0,1806
48.8611045045045,2.338507370342918,48.861105_2.338507,520,5,0,0,11,2,0,0,18,23,319,186,62,35,36,0,0,41,17,3,10,1,7,3,91,0,36,3,30,0,280,36,15,5,8,2,98,0,1419
48.8611045045045,2.345353685171459,48.861105_2.345354,1050,11,0,0,48,3,0,0,23,20,741,374,131,109,127,0,0,55,23,3,16,1,10,2,154,0,44,7,35,0,368,40,13,6,7,2,133,0,2575
48.8611045045045,2.3522,48.861105_2.352200,1441,14,0,0,58,2,0,0,67,13,830,398,172,124,136,0,0,62,20,4,20,1,15,2,142,0,41,7,12,0,480,42,14,7,6,2,128,0,3122
48.8611045045045,2.3590463148285408,48.861105_2.359046,1305,11,0,0,35,0,0,0,98,11,477,258,114,53,52,0,0,64,16,4,18,1,25,0,61,0,28,2,7,0,428,37,9,10,20,2,119,0,2517
48.8611045045045,2.3658926296570817,48.861105_2.365893,976,9,0,0,20,0,0,0,47,10,378,208,81,37,52,0,0,53,14,2,14,0,23,0,66,0,29,6,4,0,219,35,1,6,22,5,97,0,1887
