point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score
Paris_48.817828_2.333668,Paris,48.81782775225228,2.3336679955909503,25,0,34,1,1,1,10,128,804,3,2,0,13,13,4,1214,13.68,1.0,23.56,46.13
Paris_48.817828_2.337091,Paris,48.81782775225228,2.3370913079531674,44,0,36,1,3,2,14,109,929,1,2,0,12,9,5,1328,13.29,1.0,28.23,47.21
Paris_48.817828_2.340515,Paris,48.81782775225228,2.3405146203153846,46,0,39,1,3,2,18,89,997,0,2,0,7,7,7,1399,9.47,1.0,29.02,47.44
Paris_48.817828_2.343938,Paris,48.81782775225228,2.3439379326776018,77,0,48,4,4,2,26,123,1178,1,2,1,9,10,10,1674,13.44,1.59,35.46,49.42
Paris_48.817828_2.347361,Paris,48.81782775225228,2.347361245039819,80,0,38,3,6,1,33,140,1219,2,1,1,11,10,11,1735,14.86,1.65,35.77,49.41
Paris_48.817828_2.350785,Paris,48.81782775225228,2.350784557402036,61,0,27,3,4,0,30,126,1211,5,1,1,12,9,9,1707,14.3,1.26,30.98,48.0
Paris_48.817828_2.354208,Paris,48.81782775225228,2.354207869764253,111,0,49,3,8,2,37,109,1249,9,1,1,14,16,8,1798,19.41,2.29,38.51,50.49
Paris_48.817828_2.357631,Paris,48.81782775225228,2.3576311821264704,111,0,70,1,7,2,30,78,1012,12,1,0,14,19,3,1530,19.58,2.29,31.78,49.34
Paris_48.817828_2.361054,Paris,48.81782775225228,2.3610544944886875,134,1,78,1,8,3,24,43,851,12,1,0,13,25,3,1353,20.32,3.75,29.14,49.02
Paris_48.817828_2.364478,Paris,48.81782775225228,2.3644778068509047,137,1,79,1,9,4,26,35,711,11,0,0,9,32,5,1174,18.56,3.81,30.48,49.83
Paris_48.817828_2.367901,Paris,48.81782775225228,2.367901119213122,82,1,59,1,5,2,16,40,574,6,1,0,6,27,5,922,13.04,2.68,20.17,46.83
Paris_48.817828_2.453484,Paris,48.81782775225228,2.4534839282685508,7,0,2,1,1,0,12,20,119,1,0,0,5,1,3,230,4.75,1.0,5.9,41.14
Paris_48.817828_2.456907,Paris,48.81782775225228,2.456907240630768,10,0,6,1,2,0,14,23,317,1,0,0,4,3,3,441,4.84,1.0,9.17,42.01
Paris_48.817828_2.460331,Paris,48.81782775225228,2.460330552992985,44,0,10,5,4,1,20,32,489,1,0,0,5,8,4,699,8.8,1.0,16.6,44.39
Paris_48.820080_2.326821,Paris,48.82008000450453,2.326821370866516,224,2,86,6,5,1,42,173,1159,19,1,0,17,45,4,1997,27.1,6.59,39.3,52.54
