point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score,global_score
Strasbourg_48.494188_7.756210,Strasbourg,48.49418795225228,7.756210096170387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.494188_7.759614,Strasbourg,48.49418795225228,7.759613745978906,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0.0,1.0,0.04,39.91,10.237499999999999
Strasbourg_48.494188_7.763017,Strasbourg,48.49418795225228,7.763017395787426,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,6,0.0,1.0,0.12,39.92,10.26
Strasbourg_48.494188_7.766421,Strasbourg,48.49418795225228,7.766421045595945,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,6,0.0,1.0,0.12,39.92,10.26
Strasbourg_48.494188_7.769825,Strasbourg,48.49418795225228,7.769824695404464,0,0,0,0,0,0,0,1,8,0,0,0,0,0,3,13,0.0,1.0,0.42,39.98,10.35
Strasbourg_48.494188_7.773228,Strasbourg,48.49418795225228,7.773228345212984,0,0,0,0,0,0,0,1,9,0,0,0,0,0,2,14,0.0,1.0,0.46,39.89,10.3375
Strasbourg_48.496440_7.752806,Strasbourg,48.49644020450453,7.752806446361867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.496440_7.759614,Strasbourg,48.49644020450453,7.759613745978906,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0.0,1.0,0.04,39.91,10.237499999999999
Strasbourg_48.496440_7.763017,Strasbourg,48.49644020450453,7.763017395787426,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,6,0.0,1.0,0.12,39.92,10.26
Strasbourg_48.496440_7.766421,Strasbourg,48.49644020450453,7.766421045595945,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,7,0.0,1.0,0.16,39.93,10.272499999999999
Strasbourg_48.496440_7.769825,Strasbourg,48.49644020450453,7.769824695404464,0,0,0,0,0,0,0,1,10,0,0,0,0,0,3,15,0.0,1.0,0.51,40.0,10.3775
Strasbourg_48.496440_7.773228,Strasbourg,48.49644020450453,7.773228345212984,0,0,0,0,0,0,0,1,11,0,0,0,0,0,2,16,0.0,1.0,0.55,39.91,10.364999999999998
Strasbourg_48.496440_7.776632,Strasbourg,48.49644020450453,7.776631995021503,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,16,0.0,1.0,0.51,39.7,10.3025
Strasbourg_48.496440_7.780036,Strasbourg,48.49644020450453,7.780035644830023,1,0,2,0,0,0,2,4,12,0,0,0,1,0,0,31,0.63,1.0,1.97,40.09,10.922500000000001
Strasbourg_48.498692_7.759614,Strasbourg,48.49869245675679,7.759613745978906,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0.0,1.0,0.04,39.81,10.2125
Strasbourg_48.498692_7.763017,Strasbourg,48.49869245675679,7.763017395787426,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,5,0.0,1.0,0.12,39.82,10.235
