shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,hotels,attractions,museums,parks,business_centers,residential_buildings,walkability_score,total_pois,lat,lon,point_id,city
0,0,0,0,0,0,1,2,0,0,1,1,0,6,23,59,43.534949152252274,1.4560759890130615,Toulouse_43.534949_1.456076,Toulouse
0,0,0,0,0,0,1,3,0,0,1,1,0,4,22,58,43.53720140450453,1.4529658452185596,Toulouse_43.537201_1.452966,Toulouse
0,0,1,0,0,0,2,3,1,0,1,1,0,5,26,91,43.53720140450453,1.4560759890130615,Toulouse_43.537201_1.456076,Toulouse
4,0,1,0,0,0,2,4,0,0,0,1,0,6,11,40,43.539453656756784,1.3845426817395199,Toulouse_43.539454_1.384543,Toulouse
5,0,1,0,0,0,4,4,0,0,0,1,0,8,11,50,43.539453656756784,1.3876528255340217,Toulouse_43.539454_1.387653,Toulouse
5,0,1,0,0,0,5,4,0,0,0,1,1,8,11,59,43.539453656756784,1.3907629693285235,Toulouse_43.539454_1.390763,Toulouse
0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,9,43.539453656756784,1.446745557629556,Toulouse_43.539454_1.446746,Toulouse
0,0,0,0,0,0,2,1,0,0,0,0,0,4,1,20,43.539453656756784,1.4498557014240578,Toulouse_43.539454_1.449856,Toulouse
0,0,0,0,0,0,3,2,0,0,0,1,0,5,24,72,43.539453656756784,1.4529658452185596,Toulouse_43.539454_1.452966,Toulouse
2,0,0,0,0,0,2,5,0,0,0,0,0,3,13,33,43.54170590900904,1.381432537945018,Toulouse_43.541706_1.381433,Toulouse
5,0,1,0,0,0,2,10,0,0,0,1,0,3,22,66,43.54170590900904,1.3845426817395199,Toulouse_43.541706_1.384543,Toulouse
6,0,2,0,0,0,4,11,0,0,0,1,0,4,35,98,43.54170590900904,1.3876528255340217,Toulouse_43.541706_1.387653,Toulouse
8,0,2,0,0,0,8,13,0,0,0,1,1,4,34,116,43.54170590900904,1.3907629693285235,Toulouse_43.541706_1.390763,Toulouse
9,0,3,0,0,0,6,14,0,0,0,1,1,3,25,110,43.54170590900904,1.3938731131230253,Toulouse_43.541706_1.393873,Toulouse
8,0,2,0,0,0,6,6,0,0,0,1,1,3,15,80,43.54170590900904,1.3969832569175271,Toulouse_43.541706_1.396983,Toulouse
0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,10,43.54170590900904,1.4436354138350542,Toulouse_43.541706_1.443635,Toulouse
0,0,0,0,0,0,1,1,0,0,0,0,0,4,1,10,43.54170590900904,1.446745557629556,Toulouse_43.541706_1.446746,Toulouse
3,0,0,0,1,0,1,4,0,0,0,0,0,4,12,41,43.54170590900904,1.4498557014240578,Toulouse_43.541706_1.449856,Toulouse
4,0,0,0,1,0,3,5,0,0,0,2,0,4,41,126,43.54170590900904,1.4529658452185596,Toulouse_43.541706_1.452966,Toulouse
1,0,0,0,0,0,2,5,0,0,0,0,0,3,14,38,43.543958161261294,1.381432537945018,Toulouse_43.543958_1.381433,Toulouse
1,0,1,0,0,0,6,9,0,0,0,1,0,3,33,85,43.543958161261294,1.3845426817395199,Toulouse_43.543958_1.384543,Toulouse
2,0,2,0,0,0,8,11,0,0,0,1,0,3,48,123,43.543958161261294,1.3876528255340217,Toulouse_43.543958_1.387653,Toulouse
4,0,2,0,0,0,14,16,0,0,0,1,1,3,50,146,43.543958161261294,1.3907629693285235,Toulouse_43.543958_1.390763,Toulouse
5,0,4,0,0,0,12,17,0,0,0,1,2,3,40,138,43.543958161261294,1.3938731131230253,Toulouse_43.543958_1.393873,Toulouse
6,0,3,0,0,0,8,9,0,0,0,1,2,3,22,94,43.543958161261294,1.3969832569175271,Toulouse_43.543958_1.396983,Toulouse
5,0,2,0,0,0,6,8,0,0,0,0,4,2,7,59,43.543958161261294,1.400093400712029,Toulouse_43.543958_1.400093,Toulouse
0,0,1,0,0,0,1,0,0,0,0,0,0,5,1,11,43.543958161261294,1.4405252700405524,Toulouse_43.543958_1.440525,Toulouse
0,0,1,0,0,0,1,0,0,0,0,0,0,4,2,13,43.543958161261294,1.4436354138350542,Toulouse_43.543958_1.443635,Toulouse
0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,21,43.543958161261294,1.446745557629556,Toulouse_43.543958_1.446746,Toulouse
4,0,0,0,1,0,3,6,0,0,0,0,0,3,19,70,43.543958161261294,1.4498557014240578,Toulouse_43.543958_1.449856,Toulouse
5,0,0,0,1,0,6,7,0,0,0,2,0,4,32,137,43.543958161261294,1.4529658452185596,Toulouse_43.543958_1.452966,Toulouse
5,0,1,0,1,0,9,7,1,0,0,3,0,4,39,180,43.543958161261294,1.4560759890130615,Toulouse_43.543958_1.456076,Toulouse
5,0,1,0,1,0,14,8,1,0,0,4,0,4,60,215,43.543958161261294,1.4591861328075633,Toulouse_43.543958_1.459186,Toulouse
1,0,0,0,0,0,2,5,0,0,0,1,0,3,12,45,43.54621041351355,1.3783223941505163,Toulouse_43.546210_1.378322,Toulouse
9,0,2,0,1,0,4,11,0,0,0,1,0,3,30,95,43.54621041351355,1.381432537945018,Toulouse_43.546210_1.381433,Toulouse
9,0,3,0,1,0,8,14,0,0,0,2,0,3,47,139,43.54621041351355,1.3845426817395199,Toulouse_43.546210_1.384543,Toulouse
9,0,5,0,1,0,12,17,0,0,0,2,0,3,64,180,43.54621041351355,1.3876528255340217,Toulouse_43.546210_1.387653,Toulouse
10,0,5,0,1,0,16,19,1,0,0,1,3,2,66,189,43.54621041351355,1.3907629693285235,Toulouse_43.546210_1.390763,Toulouse
4,0,6,0,0,0,16,19,1,0,0,1,5,1,45,152,43.54621041351355,1.3938731131230253,Toulouse_43.546210_1.393873,Toulouse
7,0,6,0,0,0,13,11,1,0,0,1,5,2,26,110,43.54621041351355,1.3969832569175271,Toulouse_43.546210_1.396983,Toulouse
7,0,4,0,0,0,9,9,1,0,0,0,7,2,9,67,43.54621041351355,1.400093400712029,Toulouse_43.546210_1.400093,Toulouse
7,0,4,0,0,0,3,2,0,0,0,0,5,2,1,34,43.54621041351355,1.4032035445065307,Toulouse_43.546210_1.403204,Toulouse
6,0,1,0,0,0,1,1,0,0,0,0,3,1,3,27,43.54621041351355,1.4063136883010325,Toulouse_43.546210_1.406314,Toulouse
22,0,4,0,0,0,6,19,0,0,0,0,2,1,36,105,43.54621041351355,1.4187542634790398,Toulouse_43.546210_1.418754,Toulouse
21,0,4,0,0,0,5,21,0,0,0,0,2,1,32,94,43.54621041351355,1.4218644072735416,Toulouse_43.546210_1.421864,Toulouse
15,0,3,0,0,0,4,18,0,0,0,0,2,0,32,82,43.54621041351355,1.4249745510680434,Toulouse_43.546210_1.424975,Toulouse
4,0,1,0,0,0,0,8,0,0,0,0,1,0,2,19,43.54621041351355,1.4280846948625452,Toulouse_43.546210_1.428085,Toulouse
0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,8,43.54621041351355,1.431194838657047,Toulouse_43.546210_1.431195,Toulouse
0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,11,43.54621041351355,1.4343049824515488,Toulouse_43.546210_1.434305,Toulouse
0,0,1,0,0,0,0,0,0,0,0,1,0,6,1,14,43.54621041351355,1.4374151262460506,Toulouse_43.546210_1.437415,Toulouse
0,0,1,0,0,0,0,0,0,0,0,1,0,6,1,15,43.54621041351355,1.4405252700405524,Toulouse_43.546210_1.440525,Toulouse
0,0,1,0,0,0,0,0,0,0,0,2,0,6,4,27,43.54621041351355,1.4436354138350542,Toulouse_43.546210_1.443635,Toulouse
0,0,0,0,0,0,0,3,0,0,0,2,0,3,17,62,43.54621041351355,1.446745557629556,Toulouse_43.546210_1.446746,Toulouse
6,0,0,0,1,0,4,8,0,0,0,2,0,2,33,121,43.54621041351355,1.4498557014240578,Toulouse_43.546210_1.449856,Toulouse
7,0,1,0,1,0,9,12,0,0,0,4,2,3,54,199,43.54621041351355,1.4529658452185596,Toulouse_43.546210_1.452966,Toulouse
7,0,1,0,1,0,11,12,0,0,0,5,2,3,59,230,43.54621041351355,1.4560759890130615,Toulouse_43.546210_1.456076,Toulouse
8,0,1,0,1,0,14,11,0,0,0,6,2,3,61,228,43.54621041351355,1.4591861328075633,Toulouse_43.546210_1.459186,Toulouse
1,0,0,0,0,0,1,3,0,0,0,1,0,2,23,60,43.548462665765804,1.3721021065615127,Toulouse_43.548463_1.372102,Toulouse
1,0,0,0,0,0,3,2,0,0,0,0,0,1,20,72,43.548462665765804,1.3752122503560145,Toulouse_43.548463_1.375212,Toulouse
1,0,0,0,0,0,5,5,0,0,0,1,0,2,15,85,43.548462665765804,1.3783223941505163,Toulouse_43.548463_1.378322,Toulouse
9,0,2,0,1,0,9,12,0,0,0,1,0,2,34,135,43.548462665765804,1.381432537945018,Toulouse_43.548463_1.381433,Toulouse
9,0,2,0,1,0,12,14,0,0,0,2,0,2,52,168,43.548462665765804,1.3845426817395199,Toulouse_43.548463_1.384543,Toulouse
9,0,4,0,1,0,12,17,0,0,0,2,0,2,69,194,43.548462665765804,1.3876528255340217,Toulouse_43.548463_1.387653,Toulouse
10,0,4,0,1,0,17,19,1,0,0,1,3,2,73,206,43.548462665765804,1.3907629693285235,Toulouse_43.548463_1.390763,Toulouse
3,0,5,0,0,0,15,18,1,0,0,1,5,1,50,165,43.548462665765804,1.3938731131230253,Toulouse_43.548463_1.393873,Toulouse
8,0,6,0,0,0,14,11,1,0,0,1,5,1,31,131,43.548462665765804,1.3969832569175271,Toulouse_43.548463_1.396983,Toulouse
11,0,4,0,0,0,13,9,1,0,0,0,7,1,13,93,43.548462665765804,1.400093400712029,Toulouse_43.548463_1.400093,Toulouse
11,0,4,0,0,0,6,2,0,0,0,0,5,4,1,50,43.548462665765804,1.4032035445065307,Toulouse_43.548463_1.403204,Toulouse
