point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score
Toulouse_43.534949_1.456076,Toulouse,43.534949152252274,1.4560759890130617,0,0,0,0,0,0,1,2,23,0,0,1,1,0,6,59,2.34,1.0,1.31,40.15
Toulouse_43.537201_1.452966,Toulouse,43.53720140450453,1.4529658452185596,0,0,0,0,0,0,1,3,22,0,0,1,1,0,4,58,2.34,1.0,1.37,40.06
Toulouse_43.537201_1.456076,Toulouse,43.53720140450453,1.4560759890130617,0,0,1,0,0,0,2,3,26,1,0,1,1,0,5,91,2.48,1.0,1.92,40.24
Toulouse_43.539454_1.384543,Toulouse,43.539453656756784,1.38454268173952,4,0,1,0,0,0,2,4,11,0,0,0,1,0,6,40,2.34,1.0,1.55,40.28
Toulouse_43.539454_1.387653,Toulouse,43.539453656756784,1.3876528255340217,5,0,1,0,0,0,4,4,11,0,0,0,1,0,8,50,2.34,1.0,2.4,40.56
Toulouse_43.539454_1.390763,Toulouse,43.539453656756784,1.3907629693285235,5,0,1,0,0,0,5,4,11,0,0,0,1,1,8,59,2.44,1.0,2.83,40.69
Toulouse_43.539454_1.446746,Toulouse,43.539453656756784,1.446745557629556,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,9,0.0,1.0,0.88,39.97
Toulouse_43.539454_1.449856,Toulouse,43.539453656756784,1.4498557014240578,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4,20,0.0,1.0,0.97,39.98
Toulouse_43.539454_1.452966,Toulouse,43.539453656756784,1.4529658452185596,0,0,0,0,0,0,3,2,24,0,0,0,1,0,5,72,2.27,1.0,2.19,40.27
Toulouse_43.541706_1.381433,Toulouse,43.54170590900904,1.381432537945018,2,0,0,0,0,0,2,5,13,0,0,0,0,0,3,33,0.0,1.0,1.7,40.12
Toulouse_43.541706_1.384543,Toulouse,43.54170590900904,1.38454268173952,5,0,1,0,0,0,2,10,22,0,0,0,1,0,3,66,2.34,1.0,2.43,40.33
Toulouse_43.541706_1.387653,Toulouse,43.54170590900904,1.3876528255340217,6,0,2,0,0,0,4,11,35,0,0,0,1,0,4,98,2.41,1.0,3.77,40.68
Toulouse_43.541706_1.390763,Toulouse,43.54170590900904,1.3907629693285235,8,0,2,0,0,0,8,13,34,0,0,0,1,1,4,116,2.51,1.0,5.62,41.13
Toulouse_43.541706_1.393873,Toulouse,43.54170590900904,1.3938731131230253,9,0,3,0,0,0,6,14,25,0,0,0,1,1,3,110,2.58,1.0,4.58,40.91
Toulouse_43.541706_1.396983,Toulouse,43.54170590900904,1.3969832569175271,8,0,2,0,0,0,6,6,15,0,0,0,1,1,3,80,2.51,1.0,3.55,40.67
Toulouse_43.541706_1.443635,Toulouse,43.54170590900904,1.4436354138350542,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,10,0.07,1.0,0.85,39.98
Toulouse_43.541706_1.446746,Toulouse,43.54170590900904,1.446745557629556,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,10,0.0,1.0,0.55,39.9
Toulouse_43.541706_1.449856,Toulouse,43.54170590900904,1.4498557014240578,3,0,0,0,1,0,1,4,12,0,0,0,0,0,4,41,0.48,1.0,1.15,40.07
Toulouse_43.541706_1.452966,Toulouse,43.54170590900904,1.4529658452185596,4,0,0,0,1,0,3,5,41,0,0,0,2,0,4,126,5.03,1.0,2.99,40.46
Toulouse_43.543958_1.381433,Toulouse,43.543958161261294,1.381432537945018,1,0,0,0,0,0,2,5,14,0,0,0,0,0,3,38,0.0,1.0,1.73,40.11
Toulouse_43.543958_1.384543,Toulouse,43.543958161261294,1.38454268173952,1,0,1,0,0,0,6,9,33,0,0,0,1,0,3,85,2.34,1.0,4.38,40.65
Toulouse_43.543958_1.387653,Toulouse,43.543958161261294,1.3876528255340217,2,0,2,0,0,0,8,11,48,0,0,0,1,0,3,123,2.41,1.0,5.87,40.98
Toulouse_43.543958_1.390763,Toulouse,43.543958161261294,1.3907629693285235,4,0,2,0,0,0,14,16,50,0,0,0,1,1,3,146,2.51,1.0,8.94,41.68
Toulouse_43.543958_1.393873,Toulouse,43.543958161261294,1.3938731131230253,5,0,4,0,0,0,12,17,40,0,0,0,1,2,3,138,2.74,1.0,7.87,41.56
